IdVenta,IdCliente,IdProducto,Cantidad,PrecioUnitario,FechaVenta,Sucursal
3156,394,441,3,17212.74,18/04/2024,Puebla
61,53250,263,6,5237.94,26/04/2026,Puebla
3583,469,142,4,16583.26,05/02/2026,Monterrey
3429,733,95,5,1317.51,16/11/2023,Guadalajara
2611,598,119,15,3951.37,06/07/2023,Online
1870,774,396,2,13345.66,23/10/2024,Monterrey
3659,666,7,19,23669.56,20/10/2023,Toluca Centro
4797,658,261,12,3642.58,12/09/2025,Online
2187,310,214,20,24228.85,15/06/2023,Toluca Centro
3463,729,23,20,24124.72,09/07/2025,Metepec
835,54288,323,19,2407.92,19/05/2025,Toluca Centro
329,756,143,16,8585.03,31/31/2025,CDMX Norte
4460,783,214,2,4045.14,01/04/2024,Metepec
768,201,358,6,22452.63,10/02/2024,
4116,281,11,8,23370.5,21/12/2023,CDMX Norte
4621,187,413,3,24181.42,28/07/2025,Toluca Centro
2531,665,17,9,1654.53,31/03/2025,Guadalajara
1207,641,166,9,18875.81,05/11/2023,Metepec
518,728,89178,5,10395.19,20/02/2025,Metepec
1359,668,95,5,19751.78,13/06/2023,Metepec
1860,75,19,13,15036.6,16/05/2024,Metepec
48,639,263,4,19526.9,26/11/2025,
4675,351,366,20,21677.21,29/04/2024,Metepec
2606,13,173,6,9599.44,27/02/2023,CDMX Norte
4499,501,59,10,17839.59,24/01/2026,Online
4452,707,306,4,11448.75,06/06/2026,Online
2018,153,22,16,19259.77,19/04/2025,CDMX Norte
3797,657,54,8,8573.39,28/02/2024,Monterrey
2161,861,60,12,8512.2,30/03/2024,Monterrey
1212,304,323,2,12961.94,12/11/2024,Guadalajara
2425,327,219,7,14042.08,03/05/2026,Monterrey
175,57255,250,13,5640.77,16/01/2024,Guadalajara
2934,650,252,7,7651.5,01/04/2025,Toluca Centro
4129,291,264,5,2904.66,22/12/2024,Puebla
451,51249,316,13,11114.87,20/06/2024,Toluca Centro
195,668,405,-20,13456,21/05/2025,Toluca Centro
3888,156,392,18,22805.87,03/03/2025,Metepec
